source,headline,date,conflict,responsibility
CNN,Displaced people of Gaza left with little to survive on,"Oct 26, 2023",Israel - Gaza,No
CNN,Palestinians in Gaza caught in the crosshairs of war between Israel and Hamas,"Oct 10, 2023",Israel - Gaza,No
CNN,"A year of war in Gaza: Thousands of deaths, malnutrition and lack of medical supplies",Oct 8. 20204,Israel - Gaza,No
CNN,"A small chapel in Gaza City offers sanctuary to Palestinians, as Israeli strikes wipe out entire families in the north","Feb 22, 2024",Israel - Gaza,Direct
CNN,‘Don’t know which body belongs to whom:’ Hear from eyewitness of Gaza strikes,"Jun 10, 2024",Israel - Gaza,No
CNN,Human Rights Watch accuses Israel of mass displacement in Gaza amounting to a war crime,"Nov 14, 2024",Israel - Gaza,Direct
CNN,Almost entire population in Gaza now displaced amid fresh Israeli offensive,"July 06, 2024",Israel - Gaza,Direct
CNN,Israel expands war into southern Gaza as UN warns of ‘blatant disregard for basic humanity’,"Dec 05, 2023",Israel - Gaza,Indirect
CNN,"Israel’s war conduct in Gaza ‘consistent with the characteristics of genocide,’ UN Special Committee finds","Nov 16, 2024",Israel - Gaza,Indirect
CNN,"Thousands of Palestinians attempt to return home to northern Gaza, but face Israeli fire","April 15, 2024",Israel - Gaza,Indirect
CNN,"More than 40,000 Palestinians have been killed in 10 months of war in Gaza, health ministry says","Aug 16, 2024",Israel - Gaza,No
CNN,Gazans endure deadly weekend of Israeli strikes as UN chief laments ‘incomprehensible and inexcusable’ destruction,"July 06, 2024",Israel - Gaza,Indirect
CNN,Gaza population being ‘dehumanized’ UN agency warns as Netanyahu rejects ceasefire calls,"November 02, 2024",Israel - Gaza,No
CNN,Dozens killed and thousands flee as Israel shrinks ‘humanitarian zone’ in Gaza,"July 23, 2024",Israel - Gaza,Direct
CNN,At least 90 Palestinians reported killed in Israeli strike targeting Hamas military chief,"July 14, 2024",Israel - Gaza,Direct
CNN,"Around 70% of deaths in Gaza are women and children, says UN","Nov 9, 2024",Israel - Gaza,No
CNN,Before and after satellite images show destruction in Gaza,"Oct 25, 2023",Israel - Gaza,No
CNN,Humanitarian crisis worsens in Gaza as Israel-Hamas war rages,"Dec 22, 2023",Israel - Gaza,No
CNN,Hundreds of foreign nationals remain stranded in Gaza as Israel intensifies airstrikes,"Oct 28, 2023",Israel - Gaza,Direct
CNN,"Airstrikes blast UN shelters, official says, as Israel announces complete encirclement of Gaza city","Nov 02, 2023",Israel - Gaza,Indirect
CNN,‘Nothing is left’: Israel’s military tells Gaza residents to go home but they find only rubble,"Aug 31, 2024",Israel - Gaza,No
CNN,"‘Where will I leave these children, on the street?’ The struggle for survival faced by disabled Palestinians in Gaza","Nov 17, 2023",Israel - Gaza,No
CNN,More than 40 people killed in Gaza in weekend of violence,"Aug 07, 2022",Israel - Gaza,No
CNN,"Israeli military retreats from northern Gaza, leaving dozens of Palestinians killed and razing neighborhoods to the ground","Nov 24, 2023",Israel - Gaza,Direct
CNN,Palestinian woman and two children crushed to death outside bakery in Gaza,"Nov 30, 2024",Israel - Gaza,No
CNN,Dozens killed in Russian strike on military educational facility in central Ukraine,"Sep 04, 2024",Russia - Ukraine,Direct
CNN,Massive Russian strikes across Ukraine trigger blackouts and kill at least five people,,Russia - Ukraine,Direct
CNN,"Woman in wheelchair killed by Russian forces while evacuating border town, Ukrainian prosecutors say","May 22, 2024",Russia - Ukraine,Direct
CNN,"Russian strike on residential building kills 29 in eastern Ukraine, officials say","July 11, 2022",Russia - Ukraine,Direct
CNN,Russian strike kills at least 18 as Ukraine’s air defenses struggle again to protect cities,"April 18, 2024",Russia - Ukraine,Direct
CNN,11 killed including 5 children in Russian strikes on eastern Ukrainian town,"Jan 06, 2024",Russia - Ukraine,Direct
CNN,Western officials warn Ukrainian forces face a difficult winter as Russia plans new strikes on infrastructure,"Feb 24, 2022",Russia - Ukraine,Indirect
CNN,‘We all realize that we will not be forgiven.’ Ukraine braces for new assault after sinking of Russian flagship,"April 16, 2022",Russia - Ukraine,Indirect
CNN,"A group of Ukrainians tried to take a boat to safety, then Russian rockets came raining down","April 22, 2022",Russia - Ukraine,Direct
CNN,Ukrainian commanders defending Mariupol say their units were able to link up despite relentless attacks,"April 14, 2022",Russia - Ukraine,No
CNN,"Russia has fired 600 missiles; 95% of amassed combat power now in Ukraine, senior US defense official says","March 07, 2022",Russia - Ukraine,Direct
CNN,Ukraine faced another round of Russian strikes in the waning hours of 202,"December 31, 2022",Russia - Ukraine,Direct
CNN,"""We hid in the bathroom and began to pray"": Kyiv residents endure New Year's Eve attacks","December 31, 2022",Russia - Ukraine,No
CNN,Catch up: More Russian strikes hit Ukraine as the country works to repair energy infrastructure,"December 08, 2022",Russia - Ukraine,Direct
CNN,Zelensky says 10 civilians killed in one Russian strike against town in Donetsk,"December 08, 2022",Russia - Ukraine,Direct
CNN,8 civilians reported killed in Russian attack on Donetsk town in eastern Ukraine ,"December 07, 2022",Russia - Ukraine,Direct
CNN,Crews race to repair Ukraine's energy system as hospitals suspend planned surgeries after Russian strikes,"December 07, 2022",Russia - Ukraine,Direct
CNN,Video shows cruise missiles launched off Crimean coast headed toward Ukraine,"March 22, 2022",Russia - Ukraine,No
CNN,"Russian forces stole buses driving to rescue people from Mariupol, Ukraine says","March 23, 2022",Russia - Ukraine,Direct
CNN,UN says 13 children among at least 136 killed in Ukraine,"March 02, 2022",Russia - Ukraine,No
CNN,UN estimates 549 civilians have been killed in Ukraine since Russian invasion began,"March 10, 2022",Russia - Ukraine,Indirect
CNN,Russia steps up efforts to rub out Ukrainian identity as Lenin reappears in the southern part of the country ,"April 30, 2022",Russia - Ukraine,Direct
CNN,Russia’s attacks on Ukraine’s supply lines are intensifying. Ukraine’s national railway hasn’t buckled,"May 04, 2022",Russia - Ukraine,Direct
CNN,"US defense official: Russian forces attempted to hit ""critical infrastructure"" in Ukraine during airstrikes","May 04, 2022",Russia - Ukraine,Direct
CNN,"Russian military strike kills factory workers waiting for bus in Avdiivka, according to Ukrainian police","May 05, 2022",Russia - Ukraine,Direct
BBC,"Israeli strikes kill 12 guarding Gaza aid lorries, medics say","December 13, 2024",Israel - Gaza,Direct
BBC,"At least 87 killed in strike on northern Gaza, officials say, as UN warns 'nowhere is safe'","October 12, 2024",Israel - Gaza,No
BBC,"Israeli air strike on north Gaza school kills at least 22, medics say","October 17, 2024",Israel - Gaza,Direct
BBC,Nearly 70% of Gaza war dead verified by UN are women and children,"November 08, 2024",Israel - Gaza,No
BBC,Strikes on south Gaza: BBC verifies attacks in areas of ‘safety',"November 01, 2024",Israel - Gaza,No
BBC,"More than 40,000 killed in Gaza, Hamas-run health ministry say","August 15, 2024",Israel - Gaza,No
BBC,Where do we go?' - Nowhere safe in Gaza as Israeli strikes intensify,"October 11, 2023",Israel - Gaza,Indirect
BBC,Israeli forces bombard Gaza City as tanks re-enter central areas,"July 08, 2024",Israel - Gaza,Direct
BBC,"At least 73 killed in Israeli strike in northern Gaza, local officials say","October 24, 2024",Israel - Gaza,Direct
BBC,Gaza Strip in maps: How a year of war has drastically changed life in the territory,"October 07, 2024",Israel - Gaza,No
BBC,"Israeli strike in Gaza humanitarian zone kills 19, Hamas-run health ministry says","September 10, 2024",Israel - Gaza,Direct
BBC,Gazans describe fresh horror in north as Israel renews offensive,"October 16, 2024",Israel - Gaza,Indirect
BBC,"Gaza's water system, destroyed by war, is sickening its children","June 21, 2024",Israel - Gaza,No
BBC,"At least half of Gaza's buildings damaged or destroyed, new analysis shows","January 30, 2024",Israel - Gaza,No
BBC,"Gaza starvation could amount to war crime, UN human rights chief tells BBC","March 28, 2024",Israel - Gaza,No
BBC,Israeli shelling of Gaza school kills at least 22,"October 14, 2022",Israel - Gaza,Direct
BBC,Israel-Gaza war: More than 100 reported killed in crowd near Gaza aid convoy,"March 01, 2024",Israel - Gaza,No
BBC,"UN condemns 'large number of civilian casualties' in north Gaza as Israel steps up campaign","October 13, 2024",Israel - Gaza,Indirect
BBC,"Israeli strike on Gaza school sheltering displaced kills 28, paramedics say","October 10, 2024",Israel - Gaza,Direct
BBC,"Inside Gaza aid depot: Food waits as Israel and UN trade blame","June 21, 2024",Israel - Gaza,No
BBC,UN says Israeli strike on Gaza school killed six of its staff,"August 11, 2024",Israel - Gaza,Direct
BBC,Gaza surgeon describes drones targeting children,"November 13, 2024",Israel - Gaza,No
BBC,"Gaza war: UN rights expert accuses Israel of acts of genocide","March 26, 2024",Israel - Gaza,Indirect
BBC,Gaza truce: Palestinians search for loved ones and check damaged homes,"November 25, 2023",Israel - Gaza,No
BBC,"Israel has no plan for Gaza after war ends, experts warn","October 28, 2023",Israel - Gaza,Indirect
BBC,Russian forces attack from three sides,"Febuary 24, 2022",Russia - Ukraine,Direct
BBC,Ukraine conflict: Half a million flee as fighting rages,"Febuary 28, 2022",Russia - Ukraine,No
BBC,Russian soldiers seen killing unarmed civilians,"May 12, 2022",Russia - Ukraine,Direct
BBC,Russia launches huge attack on Ukraine's energy infrastructure,"December 14, 2024",Russia - Ukraine,Direct
BBC,Russia's 'meat-grinder' tactics bring battlefield success - but at horrendous cost,"December 06, 2024",Russia - Ukraine,Direct
BBC,"Russia hits most settlements in one day, says Kyiv","November 02, 2023",Russia - Ukraine,Direct
BBC,Russian double-tap strikes hit civilians then rescuers too,"April 14, 202z4",Russia - Ukraine,Direct
BBC,Nothing but rubble in shattered ghost town Avdiivka,"January 30, 2024",Russia - Ukraine,No
BBC,Back to school under Russian attacks,"September 01, 2023",Russia - Ukraine,Direct
BBC,Russian attack on Ukraine cities hits deadly new level,"December 28, 2023",Russia - Ukraine,Direct
BBC,Russian missile attack targets Kyiv,"March 22, 2024",Russia - Ukraine,Direct
BBC,Russia hits back after Kyiv attack on border city,"December 31, 2023",Russia - Ukraine,Direct
BBC,Barrage of Russian attacks aims to cut Ukraine's lights,"March 31, 2024",Russia - Ukraine,Direct
BBC,No power in Ukraine's second city after Russian strikes,"December 16, 2022",Russia - Ukraine,Direct
BBC,West condemns Russian plans for 'sham' ukraine vote,"September 20, 2022",Russia - Ukraine,Indirect
BBC,"Missiles kill 11, including children, Ukrainian official says","January 06, 2022",Russia - Ukraine,No
BBC,Kyiv hit by biggest drone attack since war began,"November 25, 2023",Russia - Ukraine,No
BBC,Waves' of Russian drones attack Kyiv for second night in a row,"November 19, 2023",Russia - Ukraine,Direct
BBC,Russia bombards cities as eastern offensive begins,"April 19, 2022",Russia - Ukraine,Direct
BBC,"In Ukraine's river war, drones mean nowhere is safe","January 22, 2023",Russia - Ukraine,No
BBC,Five dead and a million without power after wave of Russian strikes,"March 22, 2024",Russia - Ukraine,Direct
BBC,Survivors speak of horror as Zaporizhzhia convoy hit,,Russia - Ukraine,No
BBC,Ukraine war student-turned-soldier: 'Friends die in your arms',"May 30, 2023",Russia - Ukraine,No
BBC,Russia attacks grain stores at River Danube ports,"July 24, 2023",Russia - Ukraine,Direct
BBC,Ukraine war: Deadly new Russian attack reported on Izmail port area,"September 06, 2023",Russia - Ukraine,Direct
NYT,Nowhere to Go: How Gaza Became a Mass Death Trap,"October 07, 2024",Israel - Gaza,No
NYT,The Killing and Suffering of Children in Gaza,"October 16, 2024",Israel - Gaza,No
NYT,"Israeli Strikes on Northern Gaza Kill at Least 20, Aid Workers Say","October 12, 2024",Israel - Gaza,Direct
NYT,Two Al Jazeera Journalists Were Killed in Israeli Airstrike on Gaza,"Febuary 12, 2024",Israel - Gaza,Direct
NYT,"Hamas Leader Killed in Gaza Fighting, Israel Says","October 17, 2024",Israel - Gaza,Indirect
NYT,‘There Is No Childhood in Gaza’,"August 17, 2024",Israel - Gaza,No
NYT,U.S. Questions Israel After ‘Horrifying’ Strike in Northern Gaza Kills Dozens,"November 17, 2024",Israel - Gaza,Indirect
NYT,"Israeli Bombing in Gaza Humanitarian Zone Kills at Least 19, Officials Say","September 10, 2024",Israel - Gaza,Direct
NYT,"Israel Hits Gaza Town for Third Time in Days, Killing Dozens, Officials Say","November 17, 2024",Israel - Gaza,Direct
